iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
KHM,Asia,Cambodia,2022-01-01,120507.0,14.0,8.857,3012.0,0.0,0.571,7264.261,0.844,0.534,181.566,0.0,0.034,1.14,,,,,,,,,,,,,3435.0,0.203,0.0026,387.8,tests performed,30465321.0,14262589.0,13660387.0,3595496.0,8601.0,40661.0,183.65,85.98,82.35,21.67,2451.0,2641.0,0.016,46.3,16589023.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2022-01-01,109367.0,0.0,130.857,1851.0,0.0,0.0,4021.048,0.0,4.811,68.055,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,1178.0,,,,,43.0,981.0,0.004,30.56,27198628.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2022-01-01,2256747.0,33012.0,34658.429,30340.0,20.0,26.714,59146.804,865.207,908.358,795.177,0.524,0.7,1.49,555.0,14.546,3416.0,89.53,,,,,52758293.0,96064.0,1385.899,2.523,130345.0,3.424,0.2659,3.8,tests performed,68969997.0,31754134.0,29442935.0,7772928.0,133451.0,239995.0,180.76,83.22,77.17,20.37,6290.0,14952.0,0.039,74.54,38155012.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2022-01-01,42463.0,731.0,492.857,352.0,0.0,0.0,72225.199,1243.356,838.299,598.716,0.0,0.0,2.65,,,,,,,,,,989.0,,1.76,,,,,tests performed,,,,,,968.0,,,,,1646.0,690.0,0.117,62.96,587925.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2022-01-01,8943.0,125.0,79.571,12.0,1.0,0.143,131252.201,1834.566,1167.832,176.118,14.677,2.097,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,3317.0,23.0,0.034,,68136.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2022-01-01,12163.0,0.0,28.857,101.0,0.0,0.0,2228.817,0.0,5.288,18.508,0.0,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,3596.0,,,,,659.0,3314.0,0.061,18.52,5457154.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2022-01-01,6183.0,480.0,68.571,184.0,3.0,0.429,359.901,27.94,3.991,10.71,0.175,0.025,0.15,,,,,,,,,,,,,,,,,,,,,,,2544.0,,,,,148.0,1417.0,0.008,35.19,17179740.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2022-01-01,1808398.0,1904.0,1324.714,39140.0,25.0,18.143,92770.786,97.675,67.958,2007.881,1.282,0.931,1.23,512.0,26.266,,,131.0,6.72,606.0,31.088,27184296.0,63089.0,1414.938,3.284,49954.0,2.6,0.0265,37.7,tests performed,44311744.0,17307542.0,16547068.0,11031090.0,110.0,126989.0,227.32,88.79,84.89,56.59,6515.0,11243.0,0.058,44.91,19493184.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2022-01-01,115386.0,218.0,246.286,4636.0,0.0,0.0,80.922,0.153,0.173,3.251,0.0,0.0,1.25,,,,,,,,,,,,,14769984.0,10.227,0.0,59970.9,tests performed,2841269000.0,,,,5937000.0,11882143.0,199.26,,,,8333.0,515510.0,0.036,79.17,1425893464.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2022-01-01,5169855.0,12415.0,6883.857,129986.0,44.0,36.714,100353.261,240.99,133.624,2523.189,0.854,0.713,1.99,,,,,,,,,29641342.0,77189.0,578.189,1.506,63390.0,1.236,0.15,6.7,tests performed,,,,,,140628.0,,,,,2730.0,31931.0,0.062,62.04,51516562.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2022-01-01,6688.0,173.0,172.714,157.0,0.0,0.571,8139.957,210.558,210.21,191.085,0.0,0.695,1.03,,,,,,,,,,,,,,,,,,,,,,,2309.0,,,,,2810.0,2195.0,0.267,,821626.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2022-01-01,20089.0,0.0,85.571,367.0,0.0,0.0,3442.369,0.0,14.663,62.888,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,2283.0,,,,,391.0,2272.0,0.039,51.85,5835806.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2022-01-01,2.0,0.0,0.0,,,,117.626,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,823.0,6.0,0.035,,17003.0,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,2022-01-01,570556.0,0.0,242.286,7353.0,0.0,1.429,110702.515,0.0,47.01,1426.671,0.0,0.277,1.08,,,,,,,,,2271042.0,4780.0,441.918,0.93,5029.0,0.979,0.092,10.9,people tested,,,,,,21003.0,,,,,4075.0,1347.0,0.026,49.07,5153957.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2022-01-01,71815.0,811.0,1138.286,718.0,4.0,1.571,2613.522,29.514,41.425,26.13,0.146,0.057,1.87,,,,,,,,,1236834.0,3464.0,45.718,0.128,4033.0,0.149,0.2822,3.5,tests performed,7220501.0,,,,107268.0,119128.0,26.28,,,,4335.0,76279.0,0.278,13.89,27478249.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2022-01-01,720538.0,5293.0,3919.429,12571.0,33.0,41.714,177466.513,1303.651,965.344,3096.202,8.128,10.274,1.27,,,1752.0,431.513,,,,,,,,,9927.0,2.432,0.3948,2.5,people tested,4729813.0,2259399.0,1953549.0,,62.0,11853.0,116.49,55.65,48.12,,2919.0,1120.0,0.028,40.74,4060135.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2022-01-01,966473.0,469.0,266.571,8323.0,1.0,0.429,85860.08,41.665,23.682,739.403,0.089,0.038,2.32,,,,,,,,,,,,,,,,,,30888612.0,10449231.0,9672873.0,2188181.0,14567.0,135997.0,274.41,92.83,85.93,19.44,12082.0,7473.0,0.066,26.85,11256372.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2022-01-01,22141.0,816.0,465.286,189.0,0.0,0.429,116324.644,4287.11,2444.524,992.97,0.0,2.252,,,,,,,,,,,,,,13.0,0.079,,,tests performed,,,,,,1499.0,,,,,7875.0,58.0,0.03,,190338.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2022-01-01,169159.0,2332.0,2758.714,638.0,0.0,1.429,188792.052,2602.658,3078.898,712.048,0.0,1.594,1.75,36.0,40.178,187.0,208.704,,,,,19441149.0,38977.0,21697.59,43.501,102140.0,113.995,0.027,37.0,tests performed,,,,,,3393.0,,,,,3787.0,526.0,0.059,45.37,896007.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2022-01-01,2480736.0,5007.0,5155.429,36182.0,53.0,70.0,236018.933,476.369,490.491,3442.38,5.042,6.66,0.93,596.0,56.704,2872.0,273.244,252.0,23.975,2267.0,215.684,47174313.0,12952.0,4398.721,1.208,51901.0,4.839,0.099,10.1,tests performed,15498019.0,6830150.0,6660801.0,2411616.0,59.0,38392.0,147.45,64.98,63.37,22.94,3653.0,2616.0,0.025,47.22,10510750.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2022-01-01,74793.0,0.0,676.286,1205.0,0.0,11.286,779.954,0.0,7.052,12.566,0.0,0.118,0.9,,,,,,,,,,,,,,,,,,,,,,,7108.0,,,,,74.0,5848.0,0.006,38.89,95894118.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2022-01-01,823282.0,20885.0,19749.429,3272.0,5.0,12.143,140630.039,3567.5,3373.526,558.911,0.854,2.074,1.32,73.0,12.47,647.0,110.518,,,1109.0,189.435,53643132.0,73332.0,9227.653,12.615,148184.0,25.491,0.1333,7.5,tests performed,12063308.0,4774045.0,4582196.0,2753898.0,8162.0,56780.0,206.06,81.55,78.27,47.04,9699.0,3134.0,0.054,43.52,5854240.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,2022-01-01,13668.0,12.0,14.286,189.0,0.0,0.0,12362.999,10.854,12.922,170.955,0.0,0.0,2.01,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,,550.0,653.0,0.059,43.52,1105557.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2022-01-01,6862.0,48.0,48.857,47.0,0.0,0.429,94763.299,662.874,674.711,649.064,0.0,5.919,1.03,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,,2099.0,93.0,0.128,37.04,72412.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
