iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_EUN,,European Union,2022-01-01,56756662.0,548749.0,516265.429,908670.0,1274.0,1744.571,126804.023,1225.998,1153.425,2030.123,2.846,3.898,,,,,,,,,,,,,,,,,,,749908843.0,323937581.0,308117056.0,132404333.0,872105.0,2138032.0,167.54,72.37,68.84,29.58,4777.0,208924.0,0.047,,447593544.0,,,,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,2022-01-01,6081.0,317.0,133.714,14.0,0.0,0.143,114978.823,5993.798,2528.254,264.71,0.0,2.701,,,,,,,,,,,,,,2100.0,42.811,0.0637,15.7,people tested,,,,,,398.0,,,,,7525.0,6.0,0.011,37.96,52888.0,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,2022-01-01,83.0,0.0,0.0,,,,22051.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764.0,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,2022-01-01,54147.0,815.0,190.286,700.0,2.0,0.429,58561.988,881.453,205.801,757.076,2.163,0.464,1.83,,,,,,,,,,,,,692.0,0.766,,,tests performed,,,,,,384.0,,,,,415.0,93.0,0.01,90.74,924610.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,2022-01-01,277700.0,6871.0,5869.286,1728.0,14.0,12.143,50162.645,1241.151,1060.205,312.139,2.529,2.193,1.48,53.0,9.574,376.0,67.919,,,,,8763231.0,22346.0,1579.427,4.027,24491.0,4.414,0.247,4.0,tests performed,9705865.0,,,1215099.0,89046.0,38898.0,175.32,,,21.95,7026.0,59.0,0.001,31.94,5535992.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,2022-01-01,10237147.0,219126.0,157704.714,123915.0,110.0,186.714,151836.893,3250.067,2339.069,1837.902,1.632,2.769,1.56,3560.0,52.802,18811.0,279.004,2017.0,29.916,11151.0,165.391,196315678.0,196469.0,2911.745,2.914,1077657.0,15.984,0.154,6.5,people tested,124197741.0,53205235.0,49623088.0,22448442.0,13230.0,382044.0,184.21,78.91,73.6,33.3,5666.0,23253.0,0.034,72.22,67422000.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,2022-01-01,46382.0,0.0,0.857,636.0,0.0,0.0,152556.31,0.0,2.819,2091.885,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,252.0,,,,,829.0,252.0,0.083,,304032.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,2022-01-01,41798.0,0.0,537.0,288.0,0.0,0.286,17853.398,0.0,229.372,123.015,0.0,0.122,0.98,,,,,,,,,,,,,1730.0,0.759,0.3104,3.2,tests performed,,,,,,3128.0,,,,,1336.0,1701.0,0.073,41.67,2341179.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,2022-01-01,10170.0,0.0,11.857,343.0,0.0,0.143,3852.395,0.0,4.491,129.928,0.0,0.054,0.54,,,,,,,,,,,,,195.0,0.078,0.0608,16.4,tests performed,,,,,,1878.0,,,,,711.0,1855.0,0.07,13.89,2639916.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,2022-01-01,936844.0,2103.0,2019.571,13860.0,60.0,59.571,249294.568,559.609,537.409,3688.152,15.966,15.852,1.01,,,,,,,,,11178971.0,34234.0,2808.947,8.602,31508.0,7.917,0.0641,15.6,tests performed,,,,,,8904.0,,,,,2369.0,4234.0,0.113,50.0,3757980.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,2022-01-01,7176814.0,26392.0,27933.286,112109.0,184.0,261.857,86044.1,316.418,334.897,1344.095,2.206,3.139,1.01,3825.0,45.859,,,1491.0,17.876,5330.0,63.902,,,,,143018.0,1.705,,,tests performed,153911759.0,62724337.0,59126891.0,34344618.0,28687.0,384382.0,184.53,75.2,70.89,41.18,4608.0,34126.0,0.041,63.89,83408554.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
GHA,Africa,Ghana,2022-01-01,143997.0,1011.0,1348.857,1298.0,3.0,4.143,4385.736,30.792,41.082,39.533,0.091,0.126,1.16,,,,,,,,,2142004.0,,67.503,,5043.0,0.159,0.2675,3.7,tests performed,,,,,,59476.0,,,,,1811.0,14820.0,0.045,51.85,32833031.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,2022-01-01,8794.0,93.0,93.143,100.0,0.0,0.0,269176.615,2846.648,2851.021,3060.912,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,520.0,2.0,0.006,,32670.0,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,2022-01-01,1240862.0,30009.0,24289.857,20849.0,59.0,71.286,118795.466,2872.949,2325.42,1996.005,5.648,6.825,1.83,,,,,,,,,47750471.0,501526.0,4604.342,48.36,395963.0,38.181,0.0613,16.3,samples tested,17470021.0,7469558.0,7041308.0,3530263.0,524.0,65701.0,167.25,71.51,67.41,33.8,6290.0,8321.0,0.08,77.78,10445365.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,2022-01-01,2611.0,0.0,51.714,1.0,0.0,0.143,46423.555,0.0,919.48,17.78,0.0,2.54,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,107.0,2.0,0.004,48.15,56243.0,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,2022-01-01,6299.0,118.0,49.0,200.0,0.0,0.0,50549.715,946.954,393.227,1605.008,0.0,0.0,1.83,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,1404.0,32.0,0.026,31.48,124610.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GUM,Oceania,Guam,2022-01-01,,,,,,,,,,,,,,,,,,,,,,214166.0,40.0,1258.438,0.235,139.0,0.817,0.114,8.8,tests performed,,,,,,,,,,,,,,52.78,170534.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,,,,
GTM,North America,Guatemala,2022-01-01,628589.0,230.0,494.571,16108.0,1.0,1.714,35698.078,13.062,28.087,914.786,0.057,0.097,1.54,,,,,,,,,3281949.0,948.0,179.834,0.052,4811.0,0.264,0.1028,9.7,people tested,11311681.0,6535628.0,4687453.0,88600.0,1102.0,24766.0,64.24,37.12,26.62,0.5,1406.0,8667.0,0.049,59.72,17608483.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GGY,Europe,Guernsey,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.0,,,,,27702.0,80.0,0.127,,63065.0,,,,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2022-01-01,32448.0,397.0,201.429,391.0,0.0,0.286,2397.888,29.338,14.885,28.895,0.0,0.021,1.34,,,,,,,,,,,,,,,,,,3251193.0,2321403.0,1224426.0,,298940.0,73554.0,24.03,17.16,9.05,,5436.0,66296.0,0.49,65.74,13531906.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,2022-01-01,6484.0,0.0,3.143,149.0,0.0,0.0,3146.472,0.0,1.525,72.305,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,414174.0,391029.0,23145.0,,,171.0,20.1,18.98,1.12,,83.0,145.0,0.007,,2060721.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,2022-01-01,39779.0,206.0,99.0,1054.0,0.0,1.286,49441.501,256.038,123.048,1310.021,0.0,1.598,1.88,,,,,,,,,387266.0,,490.006,,955.0,1.208,0.1037,9.6,tests performed,718219.0,411081.0,295325.0,11813.0,,839.0,89.27,51.09,36.71,1.47,1043.0,199.0,0.025,66.67,804567.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,2022-01-01,25985.0,0.0,5.0,766.0,0.0,0.143,2269.914,0.0,0.437,66.914,0.0,0.012,0.83,,,,,,,,,153254.0,,13.278,,,,,,tests performed,199874.0,125187.0,75028.0,,,521.0,1.75,1.09,0.66,,46.0,243.0,0.002,43.52,11447569.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
OWID_HIC,,High income,2022-01-01,136105303.0,992869.0,1169652.714,1944890.0,1910.0,3307.714,109640.827,799.814,942.224,1566.723,1.539,2.665,,,,,,,,,,,,,,,,,,,2060854054.0,928413015.0,856433737.0,304555415.0,1493804.0,5068444.0,166.01,74.79,68.99,24.53,4083.0,622804.0,0.05,,1241374280.0,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,2022-01-01,379402.0,0.0,47.0,10433.0,0.0,0.571,36912.748,0.0,4.573,1015.047,0.0,0.056,0.57,,,,,,,,,,,,,,,,,,,,,,,46110.0,,,,,4486.0,14691.0,0.143,56.48,10278346.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,2022-01-01,12667.0,18.0,12.429,213.0,0.0,0.0,1690.155,2.402,1.658,28.421,0.0,0.0,,,,,,,,,,,,,,66897.0,8.857,,,tests performed,9943826.0,4883443.0,4665186.0,395197.0,18338.0,15971.0,132.68,65.16,62.25,5.27,2131.0,4191.0,0.056,55.56,7494578.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,2022-01-01,1256415.0,0.0,2726.429,39186.0,0.0,125.571,129396.776,0.0,280.792,4035.722,0.0,12.932,1.03,,,3492.0,359.637,,,,,,,,,13422.0,1.393,0.2031,4.9,tests performed,,,,,,10347.0,,,,,1066.0,2349.0,0.024,51.85,9709786.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,2022-01-01,27059.0,0.0,710.286,37.0,0.0,0.0,73066.278,0.0,1917.955,99.91,0.0,0.0,1.71,,,,,,,,,849334.0,2393.0,2303.016,6.489,5033.0,13.647,,,tests performed,,,,,,421.0,,,,,1137.0,62.0,0.017,37.96,370335.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,2022-01-01,34889132.0,27553.0,14618.571,481770.0,284.0,298.286,24786.891,19.575,10.386,342.272,0.202,0.212,2.3,,,,,,,,,678989110.0,1110855.0,487.286,0.797,1133926.0,0.814,0.0129,77.6,samples tested,1454069802.0,846975771.0,607094031.0,,5204380.0,5726859.0,103.3,60.17,43.13,,4069.0,1413862.0,0.1,77.31,1407563842.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,2022-01-01,4262994.0,274.0,189.571,144096.0,2.0,6.143,15572.399,1.001,0.692,526.372,0.007,0.022,1.24,,,,,,,,,42614359.0,128197.0,154.198,0.464,152166.0,0.551,0.0012,802.7,people tested,,161861222.0,114030438.0,,,1353346.0,,59.13,41.65,,4944.0,811234.0,0.296,68.98,273753191.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
OWID_INT,,International,2022-01-01,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022-01-01,6195403.0,1002.0,1785.429,131639.0,33.0,41.571,70463.617,11.396,20.307,1497.2,0.375,0.473,0.86,,,,,,,,,42078937.0,96025.0,494.879,1.129,98577.0,1.159,0.0181,55.2,tests performed,,,,,,394380.0,,,,,4485.0,42111.0,0.048,54.63,87923432.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,
IRQ,Asia,Iraq,2022-01-01,2093891.0,151.0,225.571,24163.0,5.0,5.857,48098.282,3.469,5.182,555.043,0.115,0.135,1.01,,,,,,,,,,,,,11205.0,0.272,0.0201,49.7,tests performed,,,,,,37798.0,,,,,868.0,15880.0,0.036,68.52,43533592.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,2022-01-01,811840.0,23281.0,15216.857,5912.0,0.0,3.143,162806.732,4668.781,3051.595,1185.595,0.0,0.63,1.51,,,656.0,131.555,,,,,10070558.0,44676.0,2021.022,8.966,34487.0,6.921,0.46,2.2,tests performed,9844457.0,3927456.0,3875190.0,2282609.0,9099.0,26900.0,197.42,78.76,77.71,45.78,5395.0,542.0,0.011,50.0,4986526.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,2022-01-01,13695.0,54.0,36.714,67.0,0.0,0.0,162526.85,640.851,435.711,795.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,375.0,,,,,4450.0,24.0,0.028,,84263.0,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,2022-01-01,1390053.0,6121.0,3762.143,8244.0,1.0,0.429,149612.851,658.81,404.923,887.31,0.108,0.046,2.18,42.0,4.521,572.0,61.565,6.0,0.646,375.0,40.362,33886288.0,92512.0,3647.216,9.957,125550.0,13.513,0.031,32.3,people tested,16783506.0,6579371.0,5940600.0,4263535.0,6388.0,22786.0,180.64,70.81,63.94,45.89,2452.0,8594.0,0.092,56.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
ITA,Europe,Italy,2022-01-01,6266939.0,141256.0,92072.571,137513.0,111.0,140.429,105788.388,2384.457,1554.221,2321.273,1.874,2.37,1.84,1297.0,21.894,12562.0,212.051,818.0,13.808,8617.0,145.458,141268542.0,1130936.0,2340.143,18.734,875777.0,14.507,0.1051,9.5,tests performed,111423724.0,48414222.0,44757647.0,19755842.0,73167.0,430011.0,188.09,81.73,75.55,33.35,7259.0,38789.0,0.065,73.15,59240330.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,2022-01-01,94649.0,729.0,305.143,2476.0,3.0,2.0,33472.151,257.807,107.912,875.625,1.061,0.707,2.03,,,,,,,,,710661.0,1569.0,239.001,0.528,1471.0,0.495,0.2074,4.8,samples tested,1208789.0,712468.0,566889.0,4834.0,,1407.0,42.75,25.2,20.05,0.17,498.0,407.0,0.014,77.78,2827694.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,2022-01-01,1732752.0,456.0,343.571,18389.0,0.0,0.857,13905.119,3.659,2.757,147.569,0.0,0.007,1.78,,,,,,,,,28000037.0,7002.0,222.133,0.056,32980.0,0.262,0.0104,96.0,people tested,201922665.0,101178021.0,99710671.0,1033973.0,339.0,39902.0,162.04,81.19,80.02,0.83,320.0,4505.0,0.004,47.22,124612530.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JEY,Europe,Jersey,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,,,,,6103.0,65.0,0.059,,109618.0,,,,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2022-01-01,1064277.0,872.0,1836.571,12684.0,31.0,34.286,95465.596,78.218,164.74,1137.754,2.781,3.075,0.91,,,,,,,,,,,,,35794.0,3.486,0.0513,19.5,tests performed,,,,,,28561.0,,,,,2562.0,8740.0,0.078,34.26,11148278.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,2022-01-01,1072999.0,481.0,447.857,18211.0,0.0,7.286,55895.656,25.057,23.33,948.664,0.0,0.38,1.1,,,,,,,,,,,,,,,,,,17511994.0,8990965.0,8521029.0,,10721.0,17862.0,91.23,46.84,44.39,,930.0,7370.0,0.038,71.3,19196465.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,2022-01-01,297155.0,2127.0,2256.714,5381.0,3.0,3.143,5606.104,40.128,42.575,101.518,0.057,0.059,1.06,,,,,,,,,,,,,7836.0,0.143,0.288,3.5,tests performed,10121263.0,,4215806.0,13215.0,,78745.0,19.09,,7.95,0.02,1486.0,10694.0,0.02,55.56,53005614.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
KIR,Oceania,Kiribati,2022-01-01,2.0,0.0,0.0,,,,15.519,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,,,,,4966.0,199.0,0.154,22.22,128874.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
OWID_KOS,Europe,Kosovo,2022-01-01,161531.0,47.0,29.143,2991.0,1.0,0.286,90640.054,26.373,16.353,1678.343,0.561,0.16,2.07,,,,,,,,,1386106.0,3344.0,777.787,1.876,2762.0,1.55,0.0106,94.8,tests performed,1674509.0,,783074.0,,931.0,1509.0,93.96,,43.94,,847.0,47.0,0.003,42.59,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,2022-01-01,417723.0,588.0,401.714,2468.0,0.0,0.0,98285.128,138.349,94.518,580.69,0.0,0.0,2.11,,,,,,,,,5984074.0,17338.0,1382.465,4.005,20757.0,4.795,0.0194,51.7,tests performed,,,,,,15791.0,,,,,3715.0,869.0,0.02,61.11,4250114.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,2022-01-01,184748.0,59.0,44.143,2802.0,0.0,1.429,28301.972,9.038,6.762,429.245,0.0,0.219,1.49,,,,,,,,,,,,,,,,,,2256018.0,1231550.0,,,794.0,5202.0,34.56,18.87,,,797.0,2531.0,0.039,47.22,6527743.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,2022-01-01,112083.0,1023.0,957.571,374.0,2.0,8.143,15095.236,137.777,128.965,50.37,0.269,1.097,0.87,,,,,,,,,853362.0,4172.0,115.642,0.565,3739.0,0.507,0.2561,3.9,tests performed,,,,,,35334.0,,,,,4759.0,20628.0,0.278,71.3,7425058.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,2022-01-01,276841.0,167.0,801.857,4577.0,7.0,11.0,147733.707,89.118,427.904,2442.475,3.735,5.87,1.25,,,375.0,200.115,,,,,5558163.0,1674.0,2977.161,0.897,6634.0,3.553,0.1209,8.3,tests performed,2555631.0,1314132.0,1262514.0,258549.0,76.0,6179.0,136.38,70.13,67.37,13.8,3297.0,751.0,0.04,57.41,1873919.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,2022-01-01,731288.0,3358.0,2861.286,9136.0,17.0,15.571,130759.208,600.433,511.617,1633.578,3.04,2.784,1.33,,,,,,,,,,,,,,,,,,4380063.0,2253125.0,1831440.0,295498.0,576.0,16066.0,78.32,40.29,32.75,5.28,2873.0,7848.0,0.14,42.59,5592631.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,2022-01-01,29652.0,1244.0,293.857,671.0,6.0,0.857,12996.975,545.266,128.803,294.111,2.63,0.376,0.99,,,,,,,,,,,,,,,,,,,,,,,9788.0,,,,,4290.0,7620.0,0.334,45.37,2281454.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,2022-01-01,6278.0,0.0,49.857,287.0,0.0,0.0,1208.838,0.0,9.6,55.262,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,2522.0,,,,,486.0,10180.0,0.196,48.15,5193416.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,2022-01-01,388734.0,0.0,581.571,5710.0,0.0,9.857,57716.112,0.0,86.347,847.775,0.0,1.464,1.09,,,,,,,,,,6481.0,,0.931,,,,,samples tested,,,,,,8463.0,,,,,1257.0,3839.0,0.057,50.0,6735277.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,2022-01-01,6167.0,36.0,38.714,69.0,0.0,0.0,157970.235,922.155,991.682,1767.463,0.0,0.0,1.15,,,,,,,,,88694.0,132.0,2318.555,3.451,183.0,4.784,0.241,4.1,tests performed,,,,,,48.0,,,,,1230.0,4.0,0.01,54.63,39039.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,2022-01-01,526628.0,2201.0,1625.143,7412.0,15.0,19.429,188982.402,789.837,583.189,2659.824,5.383,6.972,1.22,,,887.0,318.303,,,,,6911741.0,5759.0,2569.552,2.141,12708.0,4.724,0.138,7.2,tests performed,,,,,,12884.0,,,,,4623.0,1154.0,0.041,53.7,2786651.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,2022-01-01,1568899.0,11529.0,12872.286,38449.0,40.0,49.429,2235.131,16.425,18.338,54.776,0.057,0.07,,,,,,,,,,,,,,,,,,,74832493.0,54982459.0,26835961.0,,865891.0,651478.0,10.66,7.83,3.82,,928.0,380155.0,0.054,,701926970.0,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,2022-01-01,65724524.0,74190.0,63788.429,1195829.0,906.0,1018.286,19542.278,22.059,18.967,355.563,0.269,0.303,,,,,,,,,,,,,,,,,,,2823190063.0,1616960096.0,1191541184.0,16956089.0,11223573.0,13270264.0,83.94,48.08,35.43,0.5,3946.0,4558652.0,0.136,,3363196660.0,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,2022-01-01,103766.0,0.0,683.286,915.0,0.0,1.143,162306.572,0.0,1068.768,1431.206,0.0,1.788,1.49,19.0,29.719,68.0,106.363,,,,,3824364.0,1060.0,6024.385,1.67,3264.0,5.142,0.246,4.1,tests performed,,,,,,4435.0,,,,,6937.0,444.0,0.069,55.56,639321.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,2022-01-01,79.0,0.0,0.286,,,,115.059,0.0,0.416,,,,,,,,,,,,,,,,,,,,,,974947.0,493491.0,462517.0,,,1396.0,141.99,71.87,67.36,,2033.0,213.0,0.031,32.41,686607.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,2022-01-01,50279.0,0.0,98.429,1027.0,0.0,0.0,1738.816,0.0,3.404,35.517,0.0,0.0,0.57,,,,,,,,,,,,,1462.0,0.051,0.0673,14.9,tests performed,,,,,,7645.0,,,,,264.0,7613.0,0.026,47.69,28915653.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,2022-01-01,75828.0,753.0,735.143,2368.0,4.0,5.714,3812.417,37.859,36.961,119.056,0.201,0.287,1.18,,,,,,,,,,,,,1138.0,0.058,0.646,1.5,tests performed,1808866.0,1494459.0,712743.0,,7958.0,9930.0,9.09,7.51,3.58,,499.0,5563.0,0.028,39.81,19889742.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,2022-01-01,2761472.0,3386.0,3295.857,31513.0,26.0,28.286,82250.621,100.852,98.167,938.617,0.774,0.842,0.95,273.0,8.131,2621.0,78.067,,,2625.0,78.186,41917427.0,71687.0,1278.899,2.187,107918.0,3.293,0.0305,32.7,people tested,57858733.0,26023425.0,25649134.0,6386522.0,42426.0,141011.0,172.33,77.51,76.4,19.02,4200.0,2739.0,0.008,50.46,33573874.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,2022-01-01,95891.0,191.0,165.571,262.0,0.0,0.143,183890.169,366.281,317.516,502.437,0.0,0.274,1.34,,,,,,,,,1873762.0,3433.0,3446.823,6.315,4100.0,7.542,0.0404,24.8,samples tested,,,,,,442.0,,,,,848.0,30.0,0.006,,521458.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,2022-01-01,21378.0,370.0,195.286,668.0,8.0,2.143,975.942,16.891,8.915,30.495,0.365,0.098,1.46,,,,,,,,,,,,,,,,,,,,,,,5318.0,,,,,243.0,2922.0,0.013,40.74,21904983.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
